,class_names,class_names_transformed,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
0,A73EGS-P,A73egs-p,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,CUNWCB-Y,Cunwcb-y,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Istiophorus_platypterus,Istiophorus platypterus,170338,Istiophorus platypterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ISTIOPHORIDAE,Istiophorus,Sailfish,"(Shaw, 1792)",2022,2021-05-01,VU,A2bd,Decreasing,True,False,False,"Collette, B.B., Di Natale, A., Fox, W., Graves, J., Juan Jorda, M., Pohlot, B., Restrepo, V. & Schratwieser, J.","Polidoro, B., Kemppinen, K., Sun, C.-L., Pollard, D.A. & Hinton, M.",None,None,None,None,0,500,None,None,None,None
3,P1ROZC-Z,P1rozc-z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,PQV7DP-S,Pqv7dp-s,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,acanthaluteres_brownii,Acanthaluteres brownii,79800448,Acanthaluteres brownii,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Acanthaluteres,Spinytail Leatherjacket,"(Richardson, 1846)",2019,2017-07-17,LC,None,Stable,True,False,False,"Matsuura, K., Motomura, H. & Khan, M.","Ralph, G.",None,None,None,None,2,25,None,None,None,None
6,acanthaluteres_spilomelanurus,Acanthaluteres spilomelanurus,79800470,Acanthaluteres spilomelanurus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Acanthaluteres,Bridled Leatherjacket,"(Quoy &amp; Gaimard, 1824)",2019,2017-07-17,LC,None,Unknown,True,False,False,"Matsuura, K., Motomura, H. & Khan, M.","Ralph, G.",None,None,None,None,0,30,None,None,None,None
7,acanthaluteres_vittiger,Acanthaluteres vittiger,79800500,Acanthaluteres vittiger,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Acanthaluteres,Brown Leatherjacket,"(Castelnau, 1873)",2019,2017-07-17,LC,None,Unknown,True,False,False,"Matsuura, K., Motomura, H. & Khan, M.","Ralph, G.",None,None,None,None,0,45,None,None,None,None
8,acanthistius_cinctus,Acanthistius cinctus,69584026,Acanthistius cinctus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ANTHIADIDAE,Acanthistius,Yellowbanded Perch,"(Günther, 1859)",2016,2015-03-10,LC,None,Unknown,True,False,False,"Williams, J.T., Carpenter, K.E., Lawrence, A. & Myers, R.","Ralph, G. & Linardich, C.",None,None,None,None,None,30,None,None,None,None
9,acanthopagrus_australis,Acanthopagrus australis,170257,Acanthopagrus australis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Acanthopagrus,Yellowfin Bream,"(Günther, 1859)",2014,2009-12-04,LC,None,Stable,True,False,False,"Iwatsuki, Y., Russell, B., Pollard, D. & Carpenter, K.E.","Tishler, M.",None,None,None,None,1,35,None,None,None,None
